n	i	real	user	cmp	algorithm
10000	1	0.007	0.000	-	Heap
50000	1	0.030	0.023	-	Heap
100000	1	0.065	0.039	-	Heap
500000	1	0.279	0.162	-	Heap
1000000	1	0.591	0.284	-	Heap
5000000	1	2.795	1.312	-	Heap
10000	2	0.006	0.006	-	Heap
50000	2	0.030	0.020	-	Heap
100000	2	0.064	0.033	-	Heap
500000	2	0.277	0.134	-	Heap
1000000	2	0.567	0.287	-	Heap
5000000	2	2.810	1.249	-	Heap
10000	3	0.006	0.006	-	Heap
50000	3	0.031	0.020	-	Heap
100000	3	0.063	0.027	-	Heap
500000	3	0.288	0.106	-	Heap
1000000	3	0.569	0.289	-	Heap
5000000	3	2.840	1.379	-	Heap
10000	1	0.007	0.000	-	Quick
50000	1	0.034	0.013	-	Quick
100000	1	0.064	0.040	-	Quick
500000	1	0.317	0.173	-	Quick
1000000	1	0.641	0.343	-	Quick
5000000	1	3.484	1.883	-	Quick
10000	2	0.007	0.004	-	Quick
50000	2	0.034	0.020	-	Quick
100000	2	0.065	0.026	-	Quick
500000	2	0.311	0.147	-	Quick
1000000	2	0.641	0.362	-	Quick
5000000	2	3.499	1.946	-	Quick
10000	3	0.007	0.004	-	Quick
50000	3	0.034	0.013	-	Quick
100000	3	0.078	0.042	-	Quick
500000	3	0.323	0.180	-	Quick
1000000	3	0.651	0.342	-	Quick
5000000	3	3.419	1.909	-	Quick
10000	1	0.101	0.101	-	Insertion
50000	1	2.373	2.355	-	Insertion
100000	1	9.489	9.437	-	Insertion
500000	1	234.147	233.897	-	Insertion
1000000	1	935.688	935.044	-	Insertion
10000	2	0.101	0.098	-	Insertion
50000	2	2.379	2.367	-	Insertion
100000	2	9.391	9.353	-	Insertion
500000	2	234.104	233.849	-	Insertion
1000000	2	936.728	936.088	-	Insertion
10000	3	0.102	0.102	-	Insertion
50000	3	2.395	2.378	-	Insertion
100000	3	9.478	9.434	-	Insertion
500000	3	234.767	234.488	-	Insertion
1000000	3	934.783	934.049	-	Insertion
10000	0	0.006	0.003	-	None
50000	0	0.031	0.014	-	None
100000	0	0.065	0.020	-	None
500000	0	0.302	0.131	-	None
1000000	0	0.564	0.307	-	None
10000	4	0.007	0.000	638098	Heap
100000	4	0.030	0.026	8044663	Heap
1000000	4	0.571	0.274	96936158	Heap
10000	4	0.007	0.003	319669	Quick
100000	4	0.074	0.044	4407627	Quick
1000000	4	0.656	0.348	74142609	Quick
10000	4	0.101	0.100	494538	Insertion
100000	4	9.522	9.414	49995091	Insertion
1000000	4	934.752	934.024	5001021213	Insertion
